state,year,cdl,deposit_cents,redemption_rate,population,pct_beverages_covered,notes
California,2001,1,5,76,34004000,87,CRV program active since 1987; rate interpolated from CRI trend data
California,2002,1,5,76,34725000,87,
California,2003,1,5,75,35478000,87,
California,2004,1,5,75,36247000,87,
California,2005,1,5,74,37018000,87,
California,2006,1,5,74,37834000,87,
California,2007,1,5,75,38676000,87,
California,2008,1,5,76,39502000,87,
California,2009,1,5,75,39995000,87,
California,2010,1,5,74,37254000,87,Census year
California,2011,1,5,75,37638000,87,
California,2012,1,5,76,38042000,87,
California,2013,1,5,74,38431000,87,
California,2014,1,5,71,38802000,87,CRI reported 71%
California,2015,1,5,72,39145000,87,CRI reported 82% gross; ~72% net of curbside per CRI methodology
California,2016,1,5,72,39250000,87,CRI reported 72% (gross 82%)
California,2017,1,5,68,39500000,87,CRI reported 68%
California,2018,1,5,66,39557000,87,CRI reported 66%
California,2019,1,5,67,39512000,87,CRI reported 67%
California,2020,1,5,58,39538000,87,COVID-19: suspension reduced returns
California,2021,1,5,58,39237000,87,CRI reported 58%; post-COVID not recovered
California,2022,1,5,60,39029000,87,CRI reported 60%
California,2023,1,5,60,38965000,87,CRI reported 60%; wine/spirits added Jan 2024
California,2024,1,5,60,38900000,87,CRI 2025 table; wine/spirits added but ramp-up ongoing
California,2025,1,5,61,38850000,90,Projected; wine/spirits ramp-up beginning
Connecticut,2001,1,5,60,3425000,77,interpolated from CRI trend; law active since 1980
Connecticut,2002,1,5,59,3461000,77,
Connecticut,2003,1,5,58,3494000,77,
Connecticut,2004,1,5,58,3504000,77,
Connecticut,2005,1,5,57,3510000,77,
Connecticut,2006,1,5,57,3520000,77,
Connecticut,2007,1,5,56,3530000,77,
Connecticut,2008,1,5,56,3501000,77,
Connecticut,2009,1,5,56,3518000,77,Water bottles added Oct 2009
Connecticut,2010,1,5,56,3574097,77,Census year
Connecticut,2011,1,5,56,3588000,77,
Connecticut,2012,1,5,56,3591000,77,
Connecticut,2013,1,5,57,3596000,77,CRI 57%
Connecticut,2014,1,5,53,3600000,77,CRI 53%
Connecticut,2015,1,5,51,3591000,77,CRI 51%
Connecticut,2016,1,5,49,3576000,77,CRI 49%
Connecticut,2017,1,5,52,3558000,77,CRI 52%
Connecticut,2018,1,5,50,3573000,77,CRI 50%
Connecticut,2019,1,5,50,3565000,77,CRI 50%
Connecticut,2020,1,5,44,3557000,77,COVID suspension; CRI 44%
Connecticut,2021,1,5,46,3605944,77,CRI 46%
Connecticut,2022,1,5,45,3626000,77,CRI 45%
Connecticut,2023,1,5,44,3617176,78,CRI 44%; noncarbonated beverages added Jan 2023
